comments,emotional_label
wareegamni haacee sabrii hin qabu baayee nama gaddisiisa,4
galatoomii haacaaluu sijaalanna,3
hacee ilma dhiira onnee jirta,3
weellisaan hacee kanatti waltajjii sochoosu ganaa jireenya ni mullataa laata uuff hacee nagaan boqadhu,4
maal godhu due galee hacee kootu kuma gala,4
duu beeka dhageffadha sia meeqaa dhamsaa waii deddebiee jedhu garaa nama nyaata lubbuun nagaan boqottu,4
ayii dhugaa dubbattee lafa dhugaa deemte hacee dacheen sitti salphatu iyyuu seenaan sin dagatu,4
wayyoo hacee uuuuuuuuuuuuuuuuuuuuuf maal godhu,4
duuti tauun isaa hin oolu hundi dabareedhaan dabarree namni waggaa kuma tokko hin jiraatu lubbuun nagaan boqottu haacaaluu hundeessaa hojiin isaa bara baraan hin dagatamtu hin gaabbitu,4
haacee maal wayya,4
haacee garaatu nu gubatee,4
aboo rabbi isan dhabamsiisu nama hacee galaafate,5
baayee na gaddisiiisa yeroon yaadadhe seenaa goota,4
wayyoo wayyoo nyaatamnee maal goona yaa haacee,4
haacee goota oromoo sanyii mootii,3
goota akkana kana dhabuun baayee nama dhukkubsa yaa saba,4
hacee dhiigaa dhugaa rabbii baasuu ati hin duune seenaa yoomillee hin duune qabda rabbii jenataan si qananisuu kichuu boolaa daadhiin guutu goota warra si nyaatee dhiigni summii isaaniti tauu,4
na dhukkuba haacee guyyaan kana yaadadhu leenca duaaf sodaa hin qabne,4
goota gaafa xiiqii,3
dhiira gaafa barkumee wayyooooooo,4
waanuman jedhuun dhabe dhugaa rabbii si dhabne,4
maal taanuu si dhabne haacee harka si nyaateef safuu,4
galatoomi ulfaadhu haacee,3
warri dhugaa isaarra ciiftan waaqni miidhama ariifachiisu,5
yaa miidiyaa boqqoolloo duruu xiqqaattanii rabbi xiqqiissu ammalle,5
goota si nyaatte sareen nu gubanne lubbuun jennata galtuu,4
wayyoo hacee baatetti hafte maali waaqayyo callistee,4
godhe sin argadha gubachuu hacee,4
haacee uuuuuuuuuuuuuffffffffuuuuu madaa hin fayyiin taate goota anaa nyaatu,4
hacee maal siif tau garaan nuu gubatee,4
biyyoon sittii salphatu leencaa keenyaa,4
ati artistii qofa hin taane leenca sanyii leencaati,3
haacee haraa asii sii dhabuu koof baayeetu natti dhagahame haadhoo bakka siif duee haadhoo anaa nyaatuu safuu biyyee haacee nyaatteef safuu,4
hacee sidhabuutu dua garaan umrii guutuu inuma gubata,4
bareedduu sareen sii nyaatte kaa ana nyaatu haadhoo,4
haacee siin jaaladha yoomuu,3
haacee duee galee suma deebifanna amanuun natti ulfaatee waanuma jirtu natti fakkaata jettee jirtuu jettee diina naasistee haacee duuti garaa nu gube,4
hachee naa nyaatu,4
anaa nyaatuu haacee kiyya maaluma siif tau tiruu garaan na gubate wayyoo,4
tokkicha qiixxe kumaa,3
waa ana nyaatu,4
ana nyaatu biyyeen leencaa saree seenaa hin qabnetu si galaafate,4
wayyoo haacaaluu bineensi nuu jala si nyaate dhugaa waaqaayyo hin gatiin,4
si obsuu dadhabe goota,4
ana nyaatu kichuu,4
si gube gubatu jecha bira hin qabu haacee,5
nama guba,4
sii nyaatte saroonni nan gadda,4
wayyoo wayyoo haacee si nyaattee sareen,4
amma hacaaluun lubbuun hin jiru jedhee akkamittin garaa amansiisa ammallee jiruutti natti dhagahama miira aarii seexaa xiiqii gaddatu na guuta due jedhanii qabee,4
wayyoo haacee kiyya maal siif tau dhiiga kiyya bakka duee dhabamee,4
hacee gubbadhe uuuuuuuuu,4
hacee gubanne si dhaggefadhee hin quufu maa godhu gubadhee,4
kanuma akkakee kana oromiyaan dhaltii laata hacee kutattuu dhiiraa,3
anaa nyaatuu haadhoo,4
hacee goota hayyuu nama lubbuun darbeef imimmaan gaarii miti of toachuu hin dandeenye biraa waanin godhus waanin jedhus hin qabu waaqayyoo qofa lubbuu keetiif jennata kennuu badii sirratti hin arginee balleessaa hin beekiin balleessiteefiis beektee balleessiteefiis waaqayyoo dhiifamaaf arjummaa isattii siif dhiisu koodee dhiigaa keessii gubatee oromoon bara dhufaa darbaa goota gabbaraa jiraataa yaa rabbi maaloo ni argitaa,4
uuuuuuuuu maal godhu biyyoon sitti salphatu goota,4
hacee qomoowwan gaddaan haguugdee maaf bira deemta wayyoo hacee si nyaatte sareen nafxanyaa yaa fifinnee hacee inuma nyaatte mitii garaa jabaattee ati biyyoo sin amanu,4
